CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
LUNE VALLEY LETTINGS LIMITED,12268902,,,UNIT D 8 PENROD WAY,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,17/10/2019,31,3,31/12/2023,31/03/2022,MICRO ENTITY,14/11/2020,,2,2,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/12268902,,,,,,,,,,,,,,,,,,,,,30/10/2023,16/10/2022
LUNE VALLEY LODGES LTD,14203087,,,UNIT 2 HEYSHAM BUSINESS PARK,MIDDLETON,MORECAMBE,,ENGLAND,LA3 3PP,Private Limited Company,Active,United Kingdom,,29/06/2022,31,3,31/12/2023,,NO ACCOUNTS FILED,27/07/2023,,0,0,0,0,55209 - Other holiday and other collective accommodation,,,,0,0,http://business.data.gov.uk/id/company/14203087,,,,,,,,,,,,,,,,,,,,,14/07/2024,30/06/2023
LUNE VALLEY PROPERTIES LTD,13213183,,,UNIT 2 HEYSHAM BUSINESS PARK,MIDDLETON,MORECAMBE,,ENGLAND,LA3 3PP,Private Limited Company,Active,United Kingdom,,19/02/2021,31,3,31/12/2024,31/03/2023,MICRO ENTITY,19/03/2022,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,,0,0,http://business.data.gov.uk/id/company/13213183,,,,,,,,,,,,,,,,,,,,,03/03/2024,18/02/2023
LUNE VALLEY PUBS LTD,11157681,,,UNIT 2 HEYSHAM BUSINESS PARK,MIDDLETON,MORECAMBE,,ENGLAND,LA3 3PP,Private Limited Company,Active,United Kingdom,,18/01/2018,31,3,31/12/2023,31/01/2022,MICRO ENTITY,15/02/2019,,0,0,0,0,56302 - Public houses and bars,,,,0,0,http://business.data.gov.uk/id/company/11157681,09/02/2022,NORTHERN HIAB AND HAULAGE LTD,19/11/2019,LUNE VALLEY BESPOKE JOINERY LTD,,,,,,,,,,,,,,,,,13/05/2024,29/04/2023
LUNE VALLEY RETREATS LTD,14203106,,,UNIT 2 HEYSHAM BUSINESS PARK,MIDDLETON,MORECAMBE,,ENGLAND,LA3 3PP,Private Limited Company,Active,United Kingdom,,29/06/2022,31,3,31/12/2023,,NO ACCOUNTS FILED,27/07/2023,,0,0,0,0,55100 - Hotels and similar accommodation,,,,0,0,http://business.data.gov.uk/id/company/14203106,,,,,,,,,,,,,,,,,,,,,14/07/2024,30/06/2023
LUNE VALLEY TIMBER BUILDINGS LIMITED,8050256,,,UNIT 2 HEYSHAM BUSINESS PARK,MIDDLETON,MORECAMBE,,ENGLAND,LA3 3PP,Private Limited Company,Active,United Kingdom,,30/04/2012,31,3,31/12/2024,31/03/2023,TOTAL EXEMPTION FULL,28/05/2017,30/04/2016,2,2,0,0,32990 - Other manufacturing n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/08050256,,,,,,,,,,,,,,,,,,,,,20/02/2024,06/02/2023
LUNE VALLEY TRANSPORT ENTERPRISE LIMITED,2451487,,,UNIT 5 VICKERS INDUSTRIAL ESTATE,MELLISHAW LANE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3EN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,12/12/1989,31,3,31/12/2024,31/03/2023,TOTAL EXEMPTION FULL,09/01/2017,12/12/2015,0,0,0,0,49390 - Other passenger land transport,,,,0,0,http://business.data.gov.uk/id/company/02451487,,,,,,,,,,,,,,,,,,,,,26/12/2023,12/12/2022
LUNE VALLEY TRANSPORT LTD,3175846,,,UNIT 5 VICKERS INDUSTRIAL ESTATE,MELLISHAW LANE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3EN,Private Limited Company,Active,United Kingdom,,20/03/1996,31,3,31/12/2024,31/03/2023,DORMANT,17/04/2017,20/03/2016,0,0,0,0,45200 - Maintenance and repair of motor vehicles,49410 - Freight transport by road,,,0,0,http://business.data.gov.uk/id/company/03175846,03/03/2021,LUNE VALLEY 1996 LTD,09/04/2020,JOHN ROBERT DENHOLM LIMITED,,,,,,,,,,,,,,,,,30/03/2024,16/03/2023
LUVLY JUBBLYS LTD,14104901,,,24 EAGLE CLOSE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2LY,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,13/05/2022,31,5,13/02/2024,,NO ACCOUNTS FILED,10/06/2023,,0,0,0,0,49420 - Removal services,,,,0,0,http://business.data.gov.uk/id/company/14104901,,,,,,,,,,,,,,,,,,,,,26/05/2023,
M AND M EXPRESS TRANSPORT LTD,12863983,,,UNIT 8 EASTGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3DY,Private Limited Company,Active,United Kingdom,,08/09/2020,28,2,30/11/2023,28/02/2022,MICRO ENTITY,06/10/2021,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/12863983,,,,,,,,,,,,,,,,,,,,,21/09/2023,07/09/2022
M J MOORE LTD,10052454,,,RIVERSIDE CARAVAN PARK LANCASTER ROAD,SNATCHEMS,MORECAMBE,,ENGLAND,LA3 3ER,Private Limited Company,Active,United Kingdom,,09/03/2016,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,06/04/2017,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10052454,,,,,,,,,,,,,,,,,,,,,23/03/2024,09/03/2023
M&A HAULAGE LANCASHIRE LTD,14465456,,,UNIT 37 HEYSHAM BUSINESS PARK,MIDDLETON,MORECAMBE,,ENGLAND,LA3 3PP,Private Limited Company,Active,United Kingdom,,07/11/2022,30,11,07/08/2024,,NO ACCOUNTS FILED,05/12/2023,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/14465456,,,,,,,,,,,,,,,,,,,,,20/11/2023,
M.A. CLEANING GROUP LTD,11685723,,,FIRST FLOOR BRUNEL HOUSE 9 PENROD WAY,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,19/11/2018,30,11,31/08/2024,30/11/2022,TOTAL EXEMPTION FULL,17/12/2019,,0,0,0,0,81299 - Other cleaning services,,,,0,0,http://business.data.gov.uk/id/company/11685723,,,,,,,,,,,,,,,,,,,,,13/10/2024,29/09/2023
M.A. LINEN & LAUNDRY LTD,14747480,,,FIRST FLOOR BRUNEL HOUSE 9 PENROD WAY,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,21/03/2023,31,3,21/12/2024,,NO ACCOUNTS FILED,18/04/2024,,0,0,0,0,81299 - Other cleaning services,,,,0,0,http://business.data.gov.uk/id/company/14747480,,,,,,,,,,,,,,,,,,,,,03/04/2024,
M.L.J ELECTRICAL SERVICES (LANCASTER) LTD.,9772166,,,15 MORECAMBE ROAD,,MORECAMBE,LANCASHIRE,,LA3 3AA,Private Limited Company,Active,United Kingdom,,10/09/2015,30,9,30/06/2024,30/09/2022,MICRO ENTITY,08/10/2016,,0,0,0,0,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/09772166,,,,,,,,,,,,,,,,,,,,,23/09/2023,09/09/2022
MAARTE LTD,12611123,,,5 HEATH GROVE,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2TL,Private Limited Company,Active,United Kingdom,,19/05/2020,31,5,29/02/2024,31/05/2022,MICRO ENTITY,16/06/2021,,0,0,0,0,47190 - Other retail sale in non-specialised stores,47710 - Retail sale of clothing in specialised stores,47781 - Retail sale in commercial art galleries,62020 - Information technology consultancy activities,0,0,http://business.data.gov.uk/id/company/12611123,,,,,,,,,,,,,,,,,,,,,01/06/2024,18/05/2023
MACKENZIE CATERING LIMITED,10190806,,,7 GREENFINCH WAY,HEYSHAM,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 2GR,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,20/05/2016,31,5,29/02/2024,31/05/2022,UNAUDITED ABRIDGED,17/06/2017,,0,0,0,0,56290 - Other food services,,,,0,0,http://business.data.gov.uk/id/company/10190806,,,,,,,,,,,,,,,,,,,,,02/06/2023,19/05/2022
MACKENZIE TRADING LIMITED,5825839,,,"5 THE HEADLANDS, HEYSHAM HEAD",HEYSHAM,LANCASHIRE,,,LA3 2RX,Private Limited Company,Active,United Kingdom,,23/05/2006,30,6,31/03/2025,30/06/2023,TOTAL EXEMPTION FULL,20/06/2017,23/05/2016,25,15,0,10,"46390 - Non-specialised wholesale of food, beverages and tobacco",,,,0,0,http://business.data.gov.uk/id/company/05825839,05/03/2007,MACKENZIE PROPERTY LIMITED,,,,,,,,,,,,,,,,,,,06/06/2024,23/05/2023
MAD DIVE SCHOOL LIMITED,12437528,,,9 PENROD WAY,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,03/02/2020,31,8,31/05/2024,31/08/2022,TOTAL EXEMPTION FULL,03/03/2021,,0,0,0,0,85510 - Sports and recreation education,,,,0,0,http://business.data.gov.uk/id/company/12437528,,,,,,,,,,,,,,,,,,,,,16/02/2024,02/02/2023
MAD DIVE SHOP LTD,15175224,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE 9 PENROD WAY,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,29/09/2023,30,9,29/06/2025,,NO ACCOUNTS FILED,27/10/2024,,0,0,0,0,"47640 - Retail sale of sports goods, fishing gear, camping goods, boats and bicycles",,,,0,0,http://business.data.gov.uk/id/company/15175224,,,,,,,,,,,,,,,,,,,,,12/10/2024,
MAGUIRE BUILDERS LIMITED,8352241,,,24 SCOTT ROAD,,MORECAMBE,,ENGLAND,LA3 1AL,Private Limited Company,Active,United Kingdom,,08/01/2013,30,11,31/08/2024,30/11/2022,MICRO ENTITY,05/02/2017,08/01/2016,0,0,0,0,41100 - Development of building projects,,,,0,0,http://business.data.gov.uk/id/company/08352241,07/02/2013,ANGELBARN LTD,,,,,,,,,,,,,,,,,,,22/01/2024,08/01/2023
MAINE AMUSEMENTS LIMITED,3746875,,,270 HEYSHAM ROAD,HEYSHAM,MORECAMBE,LANCASHIRE,,LA3 1PZ,Private Limited Company,Active,United Kingdom,,07/04/1999,30,4,31/01/2024,30/04/2022,TOTAL EXEMPTION FULL,05/05/2017,07/04/2016,1,1,0,0,92000 - Gambling and betting activities,,,,0,0,http://business.data.gov.uk/id/company/03746875,,,,,,,,,,,,,,,,,,,,,21/04/2024,07/04/2023
MAJORLAND LIMITED,7574121,,,UNIT 1C MAJOR INDUSTRIAL ESTATE,MIDDLETON ROAD,HEYSHAM,LANCASHIRE,ENGLAND,LA3 3NT,Private Limited Company,Active,United Kingdom,,22/03/2011,31,3,31/12/2023,31/03/2022,MICRO ENTITY,19/04/2017,22/03/2016,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/07574121,,,,,,,,,,,,,,,,,,,,,05/04/2024,22/03/2023
MAKINSON PROPERTY LIMITED,8149930,,,WESTGATE CARAVAN PARK,WESTGATE,MORECAMBE,LANCASHIRE,,LA3 3DE,Private Limited Company,Active,United Kingdom,,19/07/2012,31,3,31/12/2024,31/03/2023,MICRO ENTITY,16/08/2016,19/07/2015,0,0,0,0,"55300 - Recreational vehicle parks, trailer parks and camping grounds",70229 - Management consultancy activities other than financial management,,,0,0,http://business.data.gov.uk/id/company/08149930,,,,,,,,,,,,,,,,,,,,,19/07/2024,05/07/2023
MAN & VAN MORECAMBE LIMITED,11431084,,,22 REGENT ROAD,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 1QN,Private Limited Company,Active,United Kingdom,,25/06/2018,30,6,31/03/2024,30/06/2022,MICRO ENTITY,23/07/2019,,0,0,0,0,47799 - Retail sale of other second-hand goods in stores (not incl. antiques),,,,0,0,http://business.data.gov.uk/id/company/11431084,,,,,,,,,,,,,,,,,,,,,08/07/2024,24/06/2023
MANOR BAY ESCAPES LTD,13351358,,,2 MAIN STREET,OVERTON,MORECAMBE,,ENGLAND,LA3 3HD,Private Limited Company,Active,United Kingdom,,22/04/2021,30,4,31/01/2025,30/04/2023,DORMANT,20/05/2022,,0,0,0,0,55209 - Other holiday and other collective accommodation,,,,0,0,http://business.data.gov.uk/id/company/13351358,,,,,,,,,,,,,,,,,,,,,05/05/2024,21/04/2023
MAPS VENTURES 2 LIMITED,14503373,,,C/O BLEND ACCOUNTANTS 9 PENROD WAY,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,24/11/2022,30,11,24/08/2024,,NO ACCOUNTS FILED,22/12/2023,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14503373,,,,,,,,,,,,,,,,,,,,,07/12/2023,
MAPS VENTURES LIMITED,11082235,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE 9 PENROD WAY,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,24/11/2017,27,2,27/11/2023,27/02/2022,TOTAL EXEMPTION FULL,22/12/2018,,0,0,0,0,62012 - Business and domestic software development,,,,0,0,http://business.data.gov.uk/id/company/11082235,,,,,,,,,,,,,,,,,,,,,03/12/2023,19/11/2022
MARCEL LOGISTICS LIMITED,8206018,,,22 MEARS BECK CLOSE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1UX,Private Limited Company,Active,United Kingdom,,07/09/2012,30,9,30/06/2024,30/09/2022,MICRO ENTITY,05/10/2016,07/09/2015,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/08206018,,,,,,,,,,,,,,,,,,,,,21/09/2024,07/09/2023
MARGARET WOODHOUSE LIMITED,2614426,,,46 YORKSHIRE STREET,MORECAMBE,LANCS.,,,LA3 1QE,Private Limited Company,Liquidation,United Kingdom,,24/05/1991,30,6,30/04/1996,30/06/1994,ACCOUNTS TYPE NOT AVAILABLE,21/06/1998,24/05/1997,0,0,0,0,4544 - Painting and glazing,"5246 - Retail hardware, paints & glass",,,0,0,http://business.data.gov.uk/id/company/02614426,,,,,,,,,,,,,,,,,,,,,07/06/2017,
MARINE COURT RESIDENTS ASSOCIATION (MORECAMBE) LIMITED,3007533,,,MARINE COURT,SANDYLANDS PROMENADE,MORECAMBE LANCASHIRE,,,LA3 1HQ,Private Limited Company,Active,United Kingdom,,09/01/1995,31,12,30/09/2024,31/12/2022,TOTAL EXEMPTION FULL,06/02/2017,09/01/2016,0,0,0,0,55900 - Other accommodation,,,,0,0,http://business.data.gov.uk/id/company/03007533,,,,,,,,,,,,,,,,,,,,,05/06/2024,22/05/2023
MARIOS LONDON TAKEAWAY LTD,13782532,,,66 SEFTON ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1UB,Private Limited Company,Active,United Kingdom,,04/12/2021,30,11,31/08/2024,30/11/2022,MICRO ENTITY,01/01/2023,,0,0,0,0,56103 - Take-away food shops and mobile food stands,,,,0,0,http://business.data.gov.uk/id/company/13782532,,,,,,,,,,,,,,,,,,,,,17/12/2023,03/12/2022
MARK JOLLEYS LIMITED,14814389,,,8 ROEBURNDALE CRESCENT,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2ET,Private Limited Company,Active,United Kingdom,,19/04/2023,30,4,19/01/2025,,NO ACCOUNTS FILED,17/05/2024,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14814389,,,,,,,,,,,,,,,,,,,,,02/05/2024,
MARKETING BY SI LIMITED,14311346,,,24 LONGLANDS AVE,HEYSHAM,HEYSHAM,,ENGLAND,LA3 2NU,Private Limited Company,Active,United Kingdom,,22/08/2022,31,8,22/05/2024,,NO ACCOUNTS FILED,19/09/2023,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14311346,,,,,,,,,,,,,,,,,,,,,04/09/2023,
MARKETING-PLUS (LANCASTER) LTD,8593148,,,WOODGATE PARK,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3PS,Private Limited Company,Active,United Kingdom,,02/07/2013,31,7,30/04/2024,31/07/2022,UNAUDITED ABRIDGED,30/07/2016,02/07/2015,0,0,0,0,18129 - Printing n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/08593148,,,,,,,,,,,,,,,,,,,,,15/07/2024,01/07/2023
MARTIN LANDSCAPING SERVICES LIMITED,14615644,,,14 HALE CARR GROVE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 2AD,Private Limited Company,Active,United Kingdom,,25/01/2023,31,1,25/10/2024,,NO ACCOUNTS FILED,22/02/2024,,0,0,0,0,81300 - Landscape service activities,,,,0,0,http://business.data.gov.uk/id/company/14615644,,,,,,,,,,,,,,,,,,,,,07/02/2024,
MASONS POWER SOLUTIONS LTD,12529643,,,29 LOW ROAD,MIDDLETON,MORECAMBE,,ENGLAND,LA3 3LG,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,23/03/2020,31,3,31/12/2023,31/03/2022,MICRO ENTITY,20/04/2021,,0,0,0,0,33190 - Repair of other equipment,,,,0,0,http://business.data.gov.uk/id/company/12529643,,,,,,,,,,,,,,,,,,,,,24/06/2023,10/06/2022
MASONS RESIN DRIVEWAYS LIMITED,12513018,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,12/03/2020,31,3,31/12/2024,31/03/2023,TOTAL EXEMPTION FULL,09/04/2021,,0,0,0,0,99999 - Dormant Company,,,,0,0,http://business.data.gov.uk/id/company/12513018,,,,,,,,,,,,,,,,,,,,,26/03/2024,12/03/2023
MASTRPART LIMITED,7347809,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,17/08/2010,31,8,31/05/2024,31/08/2022,TOTAL EXEMPTION FULL,14/09/2016,17/08/2015,0,0,0,0,45310 - Wholesale trade of motor vehicle parts and accessories,,,,0,0,http://business.data.gov.uk/id/company/07347809,,,,,,,,,,,,,,,,,,,,,21/12/2023,07/12/2022
MB WOODCRAFT LIMITED,8219963,,,6 DREWTON AVENUE,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1NU,Private Limited Company,Active,United Kingdom,,19/09/2012,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,17/10/2016,19/09/2015,0,0,0,0,43320 - Joinery installation,,,,0,0,http://business.data.gov.uk/id/company/08219963,,,,,,,,,,,,,,,,,,,,,03/10/2024,19/09/2023
MBG AUTO SERVICES LTD,14430380,,,UNIT 5 WHITEGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,,ENGLAND,LA3 3BS,Private Limited Company,Active,United Kingdom,,19/10/2022,31,10,19/07/2024,,NO ACCOUNTS FILED,16/11/2023,,0,0,0,0,45200 - Maintenance and repair of motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/14430380,,,,,,,,,,,,,,,,,,,,,01/11/2023,
MD PROPERTY SERVICES LIMITED,13542873,,,42 WOBORROW ROAD,,HEYSHAM,LANCASHIRE,UNITED KINGDOM,LA3 2PW,Private Limited Company,Active,United Kingdom,,02/08/2021,31,8,31/05/2025,31/08/2023,MICRO ENTITY,30/08/2022,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13542873,,,,,,,,,,,,,,,,,,,,,15/08/2024,01/08/2023
MDW DATA SOLUTIONS LIMITED,12888172,,,85 BALMORAL ROAD,,MORECAMBE,,ENGLAND,LA3 1BH,Private Limited Company,Active,United Kingdom,,18/09/2020,30,9,30/06/2024,30/09/2022,MICRO ENTITY,16/10/2021,,0,0,0,0,70229 - Management consultancy activities other than financial management,71200 - Technical testing and analysis,"74909 - Other professional, scientific and technical activities n.e.c.",,0,0,http://business.data.gov.uk/id/company/12888172,,,,,,,,,,,,,,,,,,,,,01/10/2023,17/09/2022
ME TO YOU CARE (NORTH WEST) LIMITED,13801659,,,20 BUNGALOW LEISURE PARK,"272 OXCLIFFE ROAD, HEATON WITH OXCLIFFE",MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 3EH,Private Limited Company,Active,United Kingdom,,15/12/2021,31,12,30/09/2024,31/12/2022,TOTAL EXEMPTION FULL,12/01/2023,,0,0,0,0,87300 - Residential care activities for the elderly and disabled,,,,0,0,http://business.data.gov.uk/id/company/13801659,,,,,,,,,,,,,,,,,,,,,28/12/2023,14/12/2022
MEADOW PARK LIMITED,4186555,,,THE BUNGALOW,WESTCLIFFE DRIVE,MORECAMBE,LANCASHIRE,,LA3 3NP,Private Limited Company,Active,United Kingdom,,23/03/2001,30,9,30/06/2024,30/09/2022,MICRO ENTITY,20/04/2017,23/03/2016,1,1,0,0,55900 - Other accommodation,,,,0,0,http://business.data.gov.uk/id/company/04186555,,,,,,,,,,,,,,,,,,,,,06/04/2024,23/03/2023
MEASUREPOINT HOLDINGS LIMITED,10965074,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,15/09/2017,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,13/10/2018,,1,1,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/10965074,,,,,,,,,,,,,,,,,,,,,28/10/2023,14/10/2022
MEASUREPOINT LTD,8206503,,,39 NORTHGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,ENGLAND,LA3 3PA,Private Limited Company,Active,United Kingdom,,07/09/2012,30,9,30/06/2024,30/09/2022,TOTAL EXEMPTION FULL,05/10/2016,07/09/2015,2,2,0,0,"74909 - Other professional, scientific and technical activities n.e.c.",,,,0,0,http://business.data.gov.uk/id/company/08206503,,,,,,,,,,,,,,,,,,,,,01/09/2024,18/08/2023
MEDIADOOR ADVERTISING LTD,13563084,,,2 BRUNSWICK ROAD,HEYSHAM,MORECAMBE,,ENGLAND,LA3 1RU,Private Limited Company,Active,United Kingdom,,12/08/2021,31,8,31/05/2024,31/08/2022,MICRO ENTITY,09/09/2022,,0,0,0,0,18129 - Printing n.e.c.,59112 - Video production activities,62012 - Business and domestic software development,73110 - Advertising agencies,0,0,http://business.data.gov.uk/id/company/13563084,,,,,,,,,,,,,,,,,,,,,25/08/2024,11/08/2023
MELLIWOIRE LTD,14761620,,,18 LORDSOME ROAD,,MORECAMBE,LANCASHIRE,UNITED KINGDOM,LA3 1JB,Private Limited Company,Active,United Kingdom,,27/03/2023,31,3,27/12/2024,,NO ACCOUNTS FILED,24/04/2024,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14761620,,,,,,,,,,,,,,,,,,,,,09/04/2024,
MERCER COMPLIANCE LTD,11738163,,,5 WENTWORTH CRESCENT,MORECAMBE,MORECAMBE,GB,ENGLAND,LA3 3NZ,Private Limited Company,Active,United Kingdom,,21/12/2018,31,12,30/09/2024,31/12/2022,MICRO ENTITY,18/01/2020,,0,0,0,0,43210 - Electrical installation,,,,0,0,http://business.data.gov.uk/id/company/11738163,,,,,,,,,,,,,,,,,,,,,03/01/2024,20/12/2022
METERS UK LTD,4454106,,,WHITEGATE,WHITE LUND INDUSTRIAL ESTATE,MORECAMBE,LANCASHIRE,,LA3 3BT,Private Limited Company,Active,United Kingdom,,05/06/2002,31,12,30/09/2024,31/12/2022,TOTAL EXEMPTION FULL,12/04/2017,15/03/2016,0,0,0,0,32990 - Other manufacturing n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/04454106,06/04/2004,MATRIX MAGNETS LIMITED,,,,,,,,,,,,,,,,,,,22/03/2024,08/03/2023
MI 1 LTD,7339589,,,406 HEYSHAM ROAD,HEYSHAM,MORECAMBE,LANCASHIRE,,LA3 2BJ,Private Limited Company,Active,United Kingdom,,09/08/2010,31,10,31/10/2023,31/10/2021,TOTAL EXEMPTION FULL,06/09/2016,09/08/2015,0,0,0,0,56101 - Licensed restaurants,,,,0,0,http://business.data.gov.uk/id/company/07339589,20/05/2014,MASALA INDIAN LTD,,,,,,,,,,,,,,,,,,,23/08/2024,09/08/2023
MICHAEL GD LIMITED,14312241,,,174 WESTMINSTER ROAD,,MORECAMBE,,ENGLAND,LA3 1SN,Private Limited Company,Active,United Kingdom,,23/08/2022,31,8,23/05/2024,,NO ACCOUNTS FILED,20/09/2023,,0,0,0,0,86900 - Other human health activities,,,,0,0,http://business.data.gov.uk/id/company/14312241,,,,,,,,,,,,,,,,,,,,,05/09/2024,22/08/2023
MICHAEL O'CONNOR TESTING LIMITED,9284352,,,C/O BLEND ACCOUNTANTS FIRST FLOOR BRUNEL HOUSE 9 PENROD WAY,HEYSHAM,MORECAMBE,LANCASHIRE,ENGLAND,LA3 2UZ,Private Limited Company,Active,United Kingdom,,28/10/2014,31,3,31/12/2023,31/03/2022,MICRO ENTITY,25/11/2016,28/10/2015,0,0,0,0,45200 - Maintenance and repair of motor vehicles,,,,0,0,http://business.data.gov.uk/id/company/09284352,,,,,,,,,,,,,,,,,,,,,13/07/2024,29/06/2023
MIDAS VIDEO PRODUCTION LIMITED,8775965,,,33 WALKER GROVE,,HEYSHAM,LANCASHIRE,,LA3 2DE,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,14/11/2013,31,3,31/12/2022,31/03/2021,MICRO ENTITY,12/12/2016,14/11/2015,0,0,0,0,59112 - Video production activities,,,,0,0,http://business.data.gov.uk/id/company/08775965,04/03/2014,BOXWORLD LIMITED,,,,,,,,,,,,,,,,,,,28/11/2021,14/11/2020
MIDDLESHAW LTD,14044266,,,18 LORDSOME ROAD,,MORECAMBE,,,LA3 1JB,Private Limited Company,Active,United Kingdom,,13/04/2022,30,4,13/01/2024,,NO ACCOUNTS FILED,11/05/2023,,0,0,0,0,82920 - Packaging activities,,,,0,0,http://business.data.gov.uk/id/company/14044266,,,,,,,,,,,,,,,,,,,,,13/04/2024,30/03/2023
